2,sip:10.10.102.101:5060,vt=10,0,VTEL-VBN
2,sip:10.10.88.100:5060,vn=10,0,VINA-VBN
2,sip:10.10.102.101:5060,mb=10,0,MOBI-VBN
0,sip:10.10.88.20:5060,mb=16,2,GSM
0,sip:10.10.88.21:5060,mb=16,2,GSM
0,sip:10.10.88.11:5060,mb=32,2,GSM
0,sip:10.10.88.13:5060,mb=32,2,GSM
1,sip:10.10.88.15:5060,mb=14,2,GSM
0,sip:10.10.88.18:5060,mb=29,2,GSM
1,sip:10.10.93.12:5060,mb=32,2,GSM
1,sip:10.10.93.13:5060,mb=32,2,GSM
1,sip:10.10.93.14:5060,mb=32,2,GSM
1,sip:10.10.93.16:5060,mb=31,2,GSM
1,sip:10.10.93.17:5060,mb=22,2,GSM
0,sip:10.10.93.18:5060,mb=31,2,GSM
0,sip:10.10.93.19:5060,mb=17,2,GSM
0,sip:10.10.93.21:5060,mb=32,2,GSM
0,sip:10.10.97.12:5060,mb=32,2,GSM
0,sip:10.10.97.13:5060,mb=32,2,GSM
0,sip:10.10.97.14:5060,mb=32,2,GSM
0,sip:10.10.97.16:5060,mb=31,2,GSM
1,sip:10.10.95.23:5060,mb=32,2,GSM-g3k
1,sip:10.10.95.24:5060,mb=32,2,GSM-g3k
1,sip:10.10.92.150:5060,mb=30,0,sip-mobi
1,sip:10.10.92.150:5060,mb=30,0,sip-mobi
1,sip:10.10.92.150:5060,mb=30,0,sip-mobi
1,sip:10.10.92.150:5060,mb=30,0,sip-mobi
1,sip:10.10.92.150:5060,mb=30,0,sip-mobi
1,sip:10.10.92.150:5060,mb=30,0,sip-mobi
1,sip:10.10.92.150:5060,mb=30,0,sip-mobi
1,sip:10.10.92.150:5060,mb=30,0,sip-mobi
1,sip:10.10.92.150:5060,mb=30,0,sip-mobi
1,sip:10.10.92.150:5060,mb=30,0,sip-mobi
1,sip:10.10.92.150:5060,mb=30,0,sip-mobi
1,sip:10.10.92.150:5060,mb=30,0,sip-mobi
1,sip:10.10.92.150:5060,mb=30,0,sip-mobi
1,sip:10.10.92.150:5060,mb=30,0,sip-mobi
1,sip:10.10.92.150:5060,mb=30,0,sip-mobi
1,sip:10.10.92.150:5060,mb=30,0,sip-mobi
1,sip:10.10.92.150:5060,mb=30,0,sip-mobi
1,sip:10.10.92.150:5060,mb=30,0,sip-mobi
1,sip:10.10.92.150:5060,mb=30,0,sip-mobi
1,sip:10.10.92.150:5060,mb=30,0,sip-mobi
1,sip:10.10.92.150:5060,mb=30,0,sip-mobi
1,sip:10.10.92.150:5060,mb=30,0,sip-mobi
1,sip:10.10.92.150:5060,mb=30,0,sip-mobi
1,sip:10.10.92.150:5060,mb=30,0,sip-mobi
1,sip:10.10.92.150:5060,mb=30,0,sip-mobi
1,sip:10.10.92.150:5060,mb=30,0,sip-mobi
1,sip:10.10.92.150:5060,mb=30,0,sip-mobi
1,sip:10.10.92.150:5060,mb=30,0,sip-mobi
1,sip:10.10.92.150:5060,mb=30,0,sip-mobi
1,sip:10.10.92.150:5060,mb=30,0,sip-mobi
1,sip:10.10.92.150:5060,mb=30,0,sip-mobi
